transaction_id,sale_date,product_id,quantity_units_sold,price_per_unit_at_sale_INR,tax_percentage,discount_percentage,line_total_before_tax_discount,tax_amount,discount_amount,final_line_total_INR,payment_method
TR0000001,2024-04-01,P089,1,96.36,5,1.26,96.36,4.76,1.21,99.91,Cash
TR0000002,2024-04-01,P050,6,46.54,5,1.66,279.24,13.73,4.64,288.33,UPI
TR0000003,2024-04-01,P041,6,101.55,12,0.09,609.3,73.05,0.55,681.8,UPI
TR0000004,2024-04-01,P091,6,74.23,5,1.16,445.38,22.01,5.17,462.22,UPI
TR0000005,2024-04-01,P016,3,173.52,12,3.79,520.56,60.1,19.73,560.93,UPI
TR0000006,2024-04-01,P048,4,260.45,5,1.88,1041.8,51.11,19.59,1073.32,UPI
TR0000007,2024-04-01,P082,6,216.13,5,1.39,1296.78,63.94,18.03,1342.69,UPI
TR0000008,2024-04-01,P006,5,47.93,12,3.24,239.65,27.83,7.76,259.72,Card
TR0000009,2024-04-01,P030,6,270.17,5,1.03,1621.02,80.22,16.7,1684.54,Cash
TR0000010,2024-04-01,P032,6,94.27,5,3.04,565.62,27.42,17.19,575.85,Card
TR0000011,2024-04-01,P024,4,65.47,5,4.35,261.88,12.52,11.39,263.01,Cash
TR0000012,2024-04-01,P007,6,173.13,5,0.63,1038.78,51.61,6.54,1083.85,Cash
TR0000013,2024-04-01,P027,2,89.85,12,3.62,179.7,20.78,6.51,193.97,Card
TR0000014,2024-04-01,P026,2,142.61,5,1.52,285.22,14.04,4.34,294.92,UPI
TR0000015,2024-04-01,P026,3,148.91,12,0.4,446.73,53.39,1.79,498.33,Card
TR0000016,2024-04-01,P022,4,160.89,12,3.8,643.56,74.29,24.46,693.39,Card
TR0000017,2024-04-01,P080,1,144.63,12,2.98,144.63,16.84,4.31,157.16,Cash
TR0000018,2024-04-01,P023,3,98.26,12,2.27,294.78,34.57,6.69,322.66,Card
TR0000019,2024-04-01,P087,1,38.79,12,0.98,38.79,4.61,0.38,43.02,Cash
TR0000020,2024-04-01,P090,6,211.14,12,2.02,1266.84,148.95,25.59,1390.2,Card
TR0000021,2024-04-01,P048,4,265.58,5,2.04,1062.32,52.03,21.67,1092.68,Cash
TR0000022,2024-04-01,P016,4,185.92,5,0.97,743.68,36.82,7.21,773.29,Card
TR0000023,2024-04-01,P045,5,214.31,12,3.48,1071.55,124.11,37.29,1158.37,UPI
TR0000024,2024-04-01,P080,6,137.41,12,0.17,824.46,98.77,1.4,921.83,Card
TR0000025,2024-04-01,P004,6,337.68,5,1.31,2026.08,99.98,26.54,2099.52,Card
TR0000026,2024-04-01,P019,3,147.52,5,0.06,442.56,22.11,0.27,464.4,Cash
TR0000027,2024-04-01,P050,4,45.56,5,2.59,182.24,8.88,4.72,186.4,Cash
TR0000028,2024-04-01,P022,4,157.84,12,2.5,631.36,73.87,15.78,689.45,UPI
TR0000029,2024-04-01,P049,5,390.55,12,3.76,1952.75,225.52,73.42,2104.85,UPI
TR0000030,2024-04-01,P014,6,162.06,12,4.07,972.36,111.93,39.58,1044.71,Card
TR0000031,2024-04-01,P076,6,414.88,5,4.08,2489.28,119.39,101.56,2507.11,Cash
TR0000032,2024-04-01,P079,5,108.82,12,3.67,544.1,62.9,19.97,587.03,Cash
TR0000033,2024-04-01,P024,6,62.27,12,0.91,373.62,44.43,3.4,414.65,Cash
TR0000034,2024-04-01,P028,2,80.16,5,4.05,160.32,7.69,6.49,161.52,Cash
TR0000035,2024-04-01,P078,4,89.75,5,4.34,359.0,17.17,15.58,360.59,Cash
TR0000036,2024-04-01,P011,4,45.81,5,1.71,183.24,9.01,3.13,189.12,UPI
TR0000037,2024-04-01,P088,6,231.76,5,0.31,1390.56,69.31,4.31,1455.56,Cash
TR0000038,2024-04-01,P006,1,45.22,5,1.88,45.22,2.22,0.85,46.59,UPI
TR0000039,2024-04-01,P035,4,169.29,12,3.02,677.16,78.81,20.45,735.52,Card
TR0000040,2024-04-01,P044,3,171.78,12,3.33,515.34,59.78,17.16,557.96,Card
TR0000041,2024-04-01,P046,3,202.21,5,2.28,606.63,29.64,13.83,622.44,UPI
TR0000042,2024-04-01,P018,1,116.34,12,4.76,116.34,13.3,5.54,124.1,Cash
TR0000043,2024-04-01,P086,5,131.98,5,0.02,659.9,32.99,0.13,692.76,UPI
TR0000044,2024-04-01,P042,1,81.61,5,4.85,81.61,3.88,3.96,81.53,UPI
TR0000045,2024-04-01,P082,2,210.49,12,3.7,420.98,48.65,15.58,454.05,Cash
TR0000046,2024-04-01,P086,6,137.89,5,3.67,827.34,39.85,30.36,836.83,Card
TR0000047,2024-04-01,P019,5,157.03,5,0.64,785.15,39.01,5.02,819.14,Cash
TR0000048,2024-04-01,P096,4,101.81,12,4.78,407.24,46.53,19.47,434.3,Card
TR0000049,2024-04-01,P031,2,218.62,5,0.53,437.24,21.75,2.32,456.67,UPI
TR0000050,2024-04-01,P050,3,43.39,12,3.33,130.17,15.1,4.33,140.94,UPI
TR0000051,2024-04-01,P018,5,116.71,12,0.45,583.55,69.71,2.63,650.63,UPI
TR0000052,2024-04-01,P029,5,42.97,5,3.22,214.85,10.4,6.92,218.33,Card
TR0000053,2024-04-01,P049,6,403.86,12,4.04,2423.16,279.03,97.9,2604.29,Cash
TR0000054,2024-04-01,P038,1,48.26,12,3.7,48.26,5.58,1.79,52.05,Cash
TR0000055,2024-04-01,P015,5,62.28,12,4.77,311.4,35.59,14.85,332.14,UPI
TR0000056,2024-04-01,P040,1,194.45,5,4.24,194.45,9.31,8.24,195.52,Card
TR0000057,2024-04-01,P047,6,35.05,5,2.6,210.3,10.24,5.47,215.07,UPI
TR0000058,2024-04-01,P014,4,152.99,12,1.58,611.96,72.27,9.67,674.56,Card
TR0000059,2024-04-01,P089,6,93.93,12,0.73,563.58,67.14,4.11,626.61,UPI
TR0000060,2024-04-02,P041,3,101.75,5,1.37,305.25,15.05,4.18,316.12,UPI
TR0000061,2024-04-02,P028,4,80.91,12,0.29,323.64,38.72,0.94,361.42,Card
TR0000062,2024-04-02,P027,6,93.68,5,3.5,562.08,27.12,19.67,569.53,Cash
TR0000063,2024-04-02,P023,4,101.71,12,4.92,406.84,46.42,20.02,433.24,UPI
TR0000064,2024-04-02,P021,1,153.48,12,2.11,153.48,18.03,3.24,168.27,Card
TR0000065,2024-04-02,P076,4,404.89,12,1.41,1619.56,191.61,22.84,1788.33,Cash
TR0000066,2024-04-02,P096,4,101.07,12,3.76,404.28,46.69,15.2,435.77,UPI
TR0000067,2024-04-02,P007,6,161.78,5,2.89,970.68,47.13,28.05,989.76,Card
TR0000068,2024-04-02,P038,2,48.75,5,3.68,97.5,4.7,3.59,98.61,Cash
TR0000069,2024-04-02,P099,1,122.37,5,1.88,122.37,6.0,2.3,126.07,Card
TR0000070,2024-04-02,P022,1,155.3,12,0.9,155.3,18.47,1.4,172.37,Cash
TR0000071,2024-04-02,P044,5,165.4,5,3.13,827.0,40.06,25.89,841.17,Card
TR0000072,2024-04-02,P016,2,176.38,12,3.44,352.76,40.88,12.13,381.51,Cash
TR0000073,2024-04-02,P049,6,417.76,5,3.89,2506.56,120.45,97.51,2529.5,UPI
TR0000074,2024-04-02,P082,3,198.1,5,0.41,594.3,29.59,2.44,621.45,Card
TR0000075,2024-04-02,P091,2,69.02,12,1.37,138.04,16.34,1.89,152.49,UPI
TR0000076,2024-04-02,P024,4,64.53,12,1.49,258.12,30.51,3.85,284.78,Cash
TR0000077,2024-04-02,P094,2,445.75,5,1.97,891.5,43.7,17.56,917.64,UPI
TR0000078,2024-04-02,P093,4,370.69,5,3.77,1482.76,71.34,55.9,1498.2,Cash
TR0000079,2024-04-02,P016,2,184.67,5,0.03,369.34,18.46,0.11,387.69,Card
TR0000080,2024-04-02,P016,1,171.6,5,3.26,171.6,8.3,5.59,174.31,Cash
TR0000081,2024-04-02,P005,1,56.9,12,1.82,56.9,6.7,1.04,62.56,UPI
TR0000082,2024-04-02,P001,2,83.94,12,3.3,167.88,19.48,5.54,181.82,Card
TR0000083,2024-04-02,P088,6,221.65,12,3.03,1329.9,154.75,40.3,1444.35,UPI
TR0000084,2024-04-02,P013,6,233.49,5,0.18,1400.94,69.92,2.52,1468.34,Cash
TR0000085,2024-04-02,P028,2,83.47,5,2.96,166.94,8.1,4.94,170.1,Card
TR0000086,2024-04-02,P080,1,141.68,12,1.91,141.68,16.68,2.71,155.65,Cash
TR0000087,2024-04-02,P011,3,48.44,5,2.68,145.32,7.07,3.89,148.5,Cash
TR0000088,2024-04-02,P035,6,173.08,5,3.57,1038.48,50.07,37.07,1051.48,UPI
TR0000089,2024-04-02,P091,5,70.04,5,1.58,350.2,17.23,5.53,361.9,Card
TR0000090,2024-04-02,P032,1,90.33,5,3.42,90.33,4.36,3.09,91.6,Card
TR0000091,2024-04-02,P047,3,34.52,5,4.34,103.56,4.95,4.49,104.02,Cash
TR0000092,2024-04-02,P013,4,237.11,5,1.89,948.44,46.53,17.93,977.04,Cash
TR0000093,2024-04-02,P016,2,178.69,12,2.94,357.38,41.62,10.51,388.49,Card
