stock_movement_id,date,product_id,movement_type,quantity_boxes,reference_id
SM000001,2024-04-03,P092,Purchase_In,103,PUR00001
SM000002,2024-04-03,P020,Purchase_In,115,PUR00002
SM000003,2024-04-15,P087,Purchase_In,54,PUR00003
SM000004,2024-04-15,P077,Purchase_In,34,PUR00004
SM000005,2024-04-15,P093,Purchase_In,75,PUR00005
SM000006,2024-04-16,P005,Purchase_In,90,PUR00006
SM000007,2024-04-16,P057,Purchase_In,53,PUR00007
SM000008,2024-05-28,P037,Purchase_In,45,PUR00008
SM000009,2024-05-30,P072,Purchase_In,18,PUR00009
SM000010,2024-05-30,P032,Purchase_In,86,PUR00010
SM000011,2024-05-30,P082,Purchase_In,7,PUR00011
SM000012,2024-06-01,P001,Purchase_In,119,PUR00012
SM000013,2024-06-01,P062,Purchase_In,97,PUR00013
SM000014,2024-06-03,P084,Purchase_In,30,PUR00014
SM000015,2024-06-05,P005,Purchase_In,101,PUR00015
SM000016,2024-06-05,P005,Purchase_In,39,PUR00016
SM000017,2024-06-12,P035,Purchase_In,104,PUR00017
SM000018,2024-06-12,P094,Purchase_In,83,PUR00018
SM000019,2024-06-12,P002,Purchase_In,102,PUR00019
SM000020,2024-06-12,P023,Purchase_In,110,PUR00020
SM000021,2024-06-15,P024,Purchase_In,62,PUR00021
SM000022,2024-06-16,P031,Purchase_In,97,PUR00022
SM000023,2024-06-16,P039,Purchase_In,93,PUR00023
SM000024,2024-06-16,P084,Purchase_In,89,PUR00024
SM000025,2024-06-16,P060,Purchase_In,21,PUR00025
SM000026,2024-06-21,P062,Purchase_In,59,PUR00026
SM000027,2024-06-21,P054,Purchase_In,117,PUR00027
SM000028,2024-06-30,P074,Purchase_In,20,PUR00028
SM000029,2024-06-30,P015,Purchase_In,92,PUR00029
SM000030,2024-07-03,P066,Purchase_In,59,PUR00030
SM000031,2024-07-03,P087,Purchase_In,93,PUR00031
SM000032,2024-07-07,P090,Purchase_In,70,PUR00032
SM000033,2024-07-07,P061,Purchase_In,37,PUR00033
SM000034,2024-07-07,P099,Purchase_In,48,PUR00034
SM000035,2024-07-11,P084,Purchase_In,16,PUR00035
SM000036,2024-07-11,P068,Purchase_In,94,PUR00036
SM000037,2024-07-18,P045,Purchase_In,36,PUR00037
SM000038,2024-07-18,P005,Purchase_In,79,PUR00038
SM000039,2024-07-18,P031,Purchase_In,9,PUR00039
SM000040,2024-07-18,P058,Purchase_In,87,PUR00040
SM000041,2024-07-19,P052,Purchase_In,30,PUR00041
SM000042,2024-07-20,P030,Purchase_In,74,PUR00042
SM000043,2024-07-20,P031,Purchase_In,113,PUR00043
SM000044,2024-07-20,P053,Purchase_In,36,PUR00044
SM000045,2024-07-30,P024,Purchase_In,61,PUR00045
SM000046,2024-07-30,P039,Purchase_In,104,PUR00046
SM000047,2024-07-30,P072,Purchase_In,54,PUR00047
SM000048,2024-07-30,P050,Purchase_In,33,PUR00048
SM000049,2024-08-02,P007,Purchase_In,49,PUR00049
SM000050,2024-08-02,P010,Purchase_In,103,PUR00050
SM000051,2024-08-07,P095,Purchase_In,96,PUR00051
SM000052,2024-08-07,P032,Purchase_In,91,PUR00052
SM000053,2024-08-16,P098,Purchase_In,118,PUR00053
SM000054,2024-08-16,P053,Purchase_In,73,PUR00054
SM000055,2024-08-16,P003,Purchase_In,71,PUR00055
SM000056,2024-08-16,P038,Purchase_In,26,PUR00056
SM000057,2024-08-18,P033,Purchase_In,93,PUR00057
SM000058,2024-08-18,P059,Purchase_In,94,PUR00058
SM000059,2024-08-18,P018,Purchase_In,63,PUR00059
SM000060,2024-08-21,P098,Purchase_In,53,PUR00060
SM000061,2024-08-22,P002,Purchase_In,65,PUR00061
SM000062,2024-08-22,P080,Purchase_In,117,PUR00062
SM000063,2024-08-23,P002,Purchase_In,68,PUR00063
SM000064,2024-08-23,P003,Purchase_In,105,PUR00064
SM000065,2024-08-23,P023,Purchase_In,118,PUR00065
SM000066,2024-08-23,P031,Purchase_In,80,PUR00066
SM000067,2024-08-30,P084,Purchase_In,12,PUR00067
SM000068,2024-09-01,P090,Purchase_In,11,PUR00068
SM000069,2024-09-08,P035,Purchase_In,119,PUR00069
SM000070,2024-09-08,P070,Purchase_In,85,PUR00070
SM000071,2024-09-08,P003,Purchase_In,76,PUR00071
SM000072,2024-09-08,P010,Purchase_In,21,PUR00072
SM000073,2024-09-15,P007,Purchase_In,56,PUR00073
SM000074,2024-09-15,P044,Purchase_In,99,PUR00074
SM000075,2024-09-15,P100,Purchase_In,4,PUR00075
SM000076,2024-09-22,P032,Purchase_In,11,PUR00076
SM000077,2024-09-22,P092,Purchase_In,95,PUR00077
SM000078,2024-09-22,P014,Purchase_In,1,PUR00078
SM000079,2024-09-25,P056,Purchase_In,72,PUR00079
SM000080,2024-09-25,P014,Purchase_In,12,PUR00080
SM000081,2024-09-29,P050,Purchase_In,93,PUR00081
SM000082,2024-09-29,P074,Purchase_In,22,PUR00082
SM000083,2024-09-29,P018,Purchase_In,39,PUR00083
SM000084,2024-09-29,P009,Purchase_In,56,PUR00084
SM000085,2024-10-01,P032,Purchase_In,77,PUR00085
SM000086,2024-10-01,P014,Purchase_In,39,PUR00086
SM000087,2024-10-01,P043,Purchase_In,49,PUR00087
SM000088,2024-10-11,P041,Purchase_In,95,PUR00088
SM000089,2024-10-11,P074,Purchase_In,42,PUR00089
SM000090,2024-10-11,P047,Purchase_In,120,PUR00090
SM000091,2024-10-11,P088,Purchase_In,4,PUR00091
SM000092,2024-10-13,P089,Purchase_In,105,PUR00092
SM000093,2024-10-13,P087,Purchase_In,18,PUR00093
SM000094,2024-10-13,P033,Purchase_In,92,PUR00094
SM000095,2024-10-14,P075,Purchase_In,119,PUR00095
SM000096,2024-10-14,P070,Purchase_In,102,PUR00096
SM000097,2024-10-14,P014,Purchase_In,85,PUR00097
SM000098,2024-10-14,P083,Purchase_In,6,PUR00098
SM000099,2024-10-18,P034,Purchase_In,66,PUR00099
SM000100,2024-10-25,P038,Purchase_In,118,PUR00100
SM000101,2024-11-02,P041,Purchase_In,39,PUR00101
SM000102,2024-11-02,P003,Purchase_In,83,PUR00102
SM000103,2024-11-02,P095,Purchase_In,67,PUR00103
SM000104,2024-11-02,P043,Purchase_In,55,PUR00104
SM000105,2024-11-05,P051,Purchase_In,95,PUR00105
SM000106,2024-11-05,P058,Purchase_In,55,PUR00106
SM000107,2024-11-05,P027,Purchase_In,97,PUR00107
SM000108,2024-11-05,P074,Purchase_In,103,PUR00108
SM000109,2024-11-07,P034,Purchase_In,68,PUR00109
SM000110,2024-11-18,P041,Purchase_In,31,PUR00110
SM000111,2024-11-18,P048,Purchase_In,50,PUR00111
SM000112,2024-11-25,P063,Purchase_In,18,PUR00112
SM000113,2024-11-25,P080,Purchase_In,111,PUR00113
SM000114,2024-11-27,P072,Purchase_In,84,PUR00114
SM000115,2024-11-27,P054,Purchase_In,63,PUR00115
SM000116,2024-11-27,P098,Purchase_In,38,PUR00116
SM000117,2024-11-27,P069,Purchase_In,22,PUR00117
SM000118,2024-11-29,P035,Purchase_In,106,PUR00118
SM000119,2024-12-02,P014,Purchase_In,39,PUR00119
SM000120,2024-12-02,P058,Purchase_In,45,PUR00120
SM000121,2024-12-02,P057,Purchase_In,31,PUR00121
SM000122,2024-12-02,P091,Purchase_In,22,PUR00122
SM000123,2024-12-08,P038,Purchase_In,35,PUR00123
SM000124,2024-12-08,P018,Purchase_In,118,PUR00124
SM000125,2024-12-08,P084,Purchase_In,90,PUR00125
SM000126,2024-12-09,P032,Purchase_In,63,PUR00126
SM000127,2024-12-09,P081,Purchase_In,49,PUR00127
SM000128,2024-12-09,P052,Purchase_In,96,PUR00128
SM000129,2024-12-15,P082,Purchase_In,109,PUR00129
SM000130,2024-12-15,P028,Purchase_In,106,PUR00130
SM000131,2024-12-15,P042,Purchase_In,44,PUR00131
SM000132,2024-12-15,P073,Purchase_In,101,PUR00132
SM000133,2024-12-16,P003,Purchase_In,119,PUR00133
SM000134,2024-12-16,P059,Purchase_In,55,PUR00134
SM000135,2024-12-16,P084,Purchase_In,21,PUR00135
SM000136,2024-12-16,P012,Purchase_In,33,PUR00136
SM000137,2024-12-17,P093,Purchase_In,55,PUR00137
SM000138,2024-12-17,P001,Purchase_In,62,PUR00138
SM000139,2024-12-17,P067,Purchase_In,2,PUR00139
SM000140,2024-12-21,P030,Purchase_In,104,PUR00140
SM000141,2024-12-29,P079,Purchase_In,57,PUR00141
SM000142,2024-12-31,P079,Purchase_In,111,PUR00142
SM000143,2024-12-31,P018,Purchase_In,76,PUR00143
SM000144,2024-12-31,P055,Purchase_In,102,PUR00144
SM000145,2024-12-31,P083,Purchase_In,32,PUR00145
SM000146,2025-01-10,P064,Purchase_In,15,PUR00146
SM000147,2025-01-10,P068,Purchase_In,47,PUR00147
SM000148,2025-01-15,P099,Purchase_In,3,PUR00148
SM000149,2025-01-15,P034,Purchase_In,6,PUR00149
SM000150,2025-01-15,P065,Purchase_In,81,PUR00150
SM000151,2025-01-15,P055,Purchase_In,11,PUR00151
SM000152,2025-01-19,P069,Purchase_In,51,PUR00152
SM000153,2025-01-19,P040,Purchase_In,94,PUR00153
SM000154,2025-01-20,P056,Purchase_In,59,PUR00154
SM000155,2025-01-24,P090,Purchase_In,21,PUR00155
SM000156,2025-01-24,P067,Purchase_In,101,PUR00156
SM000157,2025-01-25,P096,Purchase_In,94,PUR00157
SM000158,2025-01-25,P043,Purchase_In,35,PUR00158
SM000159,2025-01-28,P066,Purchase_In,8,PUR00159
SM000160,2025-01-28,P048,Purchase_In,14,PUR00160
SM000161,2025-01-28,P030,Purchase_In,6,PUR00161
SM000162,2025-01-28,P032,Purchase_In,61,PUR00162
SM000163,2025-01-29,P071,Purchase_In,29,PUR00163
SM000164,2025-02-03,P023,Purchase_In,103,PUR00164
SM000165,2025-02-05,P037,Purchase_In,42,PUR00165
SM000166,2025-02-05,P002,Purchase_In,26,PUR00166
SM000167,2025-02-05,P095,Purchase_In,32,PUR00167
SM000168,2025-02-05,P099,Purchase_In,94,PUR00168
